2022-09-01 08:53:48,952 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:48,952 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:48,953 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:48] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:49,189 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:49,190 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:49,190 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:49] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:50,685 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:50,686 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:50,686 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:50] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:50,839 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:50,839 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:50,840 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:50] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:50,966 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:50,967 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:50,967 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:50] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:51,101 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:51,101 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:51,102 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:51] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:51,240 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:51,240 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:51,241 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:51] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:51,393 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:51,393 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:51,394 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:51] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:51,531 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:51,531 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:51,532 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:51] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:51,649 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:51,649 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:51,649 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:51] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:51,795 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:51,795 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:51,795 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:51] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:51,911 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:51,911 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:51,912 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:51] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:52,060 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:52,060 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:52,061 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:52] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:52,201 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:52,202 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:52,202 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:52] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:52,335 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:52,335 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:52,336 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:52] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:52,486 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:52,486 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:52,487 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:52] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:52,619 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:52,620 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:52,620 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:52] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:52,734 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:52,734 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:52,735 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:52] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
